iter	Logloss
0	0.6879842694
1	0.6823937677
2	0.6775140353
3	0.6723531607
4	0.6669845722
5	0.661690473
6	0.6568097758
7	0.6523397123
8	0.6474275898
9	0.6426132848
10	0.6377645524
11	0.63332374
12	0.6287995752
13	0.6242976431
14	0.620151255
15	0.6159303048
16	0.611922266
17	0.6078812329
18	0.6039438242
19	0.5998859058
20	0.5961701694
21	0.5922852278
22	0.588436066
23	0.5846587407
24	0.5811460814
25	0.5777454432
26	0.5742883664
27	0.5707504843
28	0.5673331549
29	0.564180226
30	0.5607930141
31	0.5575091384
32	0.5554930534
33	0.5522614602
34	0.5490624997
35	0.5460951428
36	0.5429286114
37	0.5398558613
38	0.5367199395
39	0.533880143
40	0.5311395681
41	0.5281239366
42	0.5254463258
43	0.5228189496
44	0.5200326117
45	0.5173066347
46	0.5148489481
47	0.5124235214
48	0.5099167222
49	0.507296073
50	0.5047652763
51	0.5022847799
52	0.4998392427
53	0.4974274589
54	0.495075071
55	0.4929590638
56	0.4906589355
57	0.4885699889
58	0.486291231
59	0.4840352622
60	0.4817997066
61	0.4798415672
62	0.4776444606
63	0.4755100589
64	0.4734832586
65	0.4714097563
66	0.4693676704
67	0.4673548069
68	0.4654492634
69	0.4637360209
70	0.4618466106
71	0.4600850534
72	0.4583335406
73	0.456719666
74	0.4551592845
75	0.4533341622
76	0.4515431303
77	0.450042042
78	0.4485384118
79	0.4469350396
80	0.4453131565
81	0.4437069807
82	0.4420480255
83	0.4404973267
84	0.4389390981
85	0.4373874373
86	0.4357843953
87	0.4342143382
88	0.4326245202
89	0.4311112238
90	0.4296201303
91	0.4282182228
92	0.4270036393
93	0.4258022599
94	0.4243004056
95	0.422965352
96	0.4221307812
97	0.4207790438
98	0.4193919097
99	0.4181418723
